명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
휴애리 봄 수국축제,63608.0,휴애리 자연생활공원,064-732-2114,제주특별자치도 서귀포시 남원읍 신례동로 256,33.3083171551,126.6336401426,"서귀포시 남원읍 신례리에 위치한 휴애리 자연생활공원은 제주도민과 제주를 찾는 관광객에게 보다 나은 볼거리를 제공하고 또 힐링의 공간이 되고자 오는 4월 5일부터 “휴애리 봄 수국축제”를 개최한다고 밝혔다. 이번 2024 휴애리 봄 수국축제는 정성스럽게 키운 다양한 수국을 온실, 수국정원, 등 공원 곳곳에서 감상할 수 있어 제주도민과 상춘객에게 인기가 좋은 제주 대표 봄 축제가 될 것으로 전망된다. 특별히 온실에서 다양한 수국을 올 봄 가장 많게 만나 볼 수 있으며 여름수국 과 유럽수국까지 준비하여 늦여름까지 진행할 예정이다.<br>
전년도 보다 더 풍성하게 준비될 이번 휴애리 봄 수국축제는 신혼여행, 웨딩스냅, 우정스냅 등 인생사진 찍기 좋은 장소로 인정받은 제주여행의 필수 코스이고 가족, 연인, 친구와 함께 다양한 수국포토존 에서 아름다운 추억을 만들 수 있다. 휴애리는 여러 해 전부터 지역사회 환원 차원에서 제주도내 장애인단체, 보육원, 양로원 등은 축제 때마다 무료입장(사전예약 필수)을 진행하고 있다.",휴애리 자연생활공원,064-732-2114,,,20240405.0,20240616.0,"11:00, 13:00, 15:00, 17:00",휴애리 자연생활공원 공원내,,"성인:13,000원/단체:9,000원/도민:8,000원<br> 청소년:11,000원/단체:8,000원/도민:7,000원<br> 어린이:10,000원/단체:7,000원/도민:6,000원<br> 경로/장애인/국가유공자/군인/경찰/소방관 단체요금 적용<br> * 단체요금 20명 부터 적용, 35개월까지는 무료입장<br> * 제주특별자치도민, 장애인, 유공자, 군인, 경찰, 소방관은 반드시 신분증 및 증명서 제시 필수",,,,,,,,"행사소개:서귀포시 남원읍 신례리에 위치한 휴애리 자연생활공원은 제주도민과 제주를 찾는 관광객에게 보다 나은 볼거리를 제공하고 또 힐링의 공간이 되고자 오는 4월 5일부터 “휴애리 봄 수국축제”를 개최한다고 밝혔다. 이번 2024 휴애리 봄 수국축제는 정성스럽게 키운 다양한 수국을 온실, 수국정원, 등 공원 곳곳에서 감상할 수 있어 제주도민과 상춘객에게 인기가 좋은 제주 대표 봄 축제가 될 것으로 전망된다. 특별히 온실에서 다양한 수국을 올 봄 가장 많게 만나 볼 수 있으며 여름수국 과 유럽수국까지 준비하여 늦여름까지 진행할 예정이다.<br>
전년도 보다 더 풍성하게 준비될 이번 휴애리 봄 수국축제는 신혼여행, 웨딩스냅, 우정스냅 등 인생사진 찍기 좋은 장소로 인정받은 제주여행의 필수 코스이고 가족, 연인, 친구와 함께 다양한 수국포토존 에서 아름다운 추억을 만들 수 있다. 휴애리는 여러 해 전부터 지역사회 환원 차원에서 제주도내 장애인단체, 보육원, 양로원 등은 축제 때마다 무료입장(사전예약 필수)을 진행하고 있다.
행사내용:1. 상설 체험프로그램 <br>
- 동물먹이주기체험(산토끼, 염소, 말, 흑돼지등)<br>
- 야생화 자연 학습체험<br>
- 전통놀이체험(돌탑쌓기, 투호던지기, 고리던지기, 널뛰기 등)

",선택안함,선택안함
영등포 관광세일페스타,,㈜레드테이블,02-6964-7597,서울시 영등포구,0.0,0.0,"온·오프라인 음식점/관광사업체 홍보 및 소비자 할인 프로모션 제공 행사이다. 여의도 봄꽃축제 개최에 맞춰 지역상권 및 관광활성화를 위해 관광세일페스타 행사를 추진한다. 온라인 플랫폼·오프라인을 통해 영등포구 내 200여개 음식점 및 관광사업체 예약,주문,결제 가능히먀,  관광세일페스타온라인 플랫폼·오프라인 이용 고객 대상 할인행사를 진행한다.(4/5/9/10월 예정)",㈜레드테이블,02-6964-7597,영등포구청 문화체육과,,20240325.0,20241031.0,상시진행,영등포 관광 세일 페스타 온라인 플랫폼,,,,,,,,,,"행사소개:온·오프라인 음식점/관광사업체 홍보 및 소비자 할인 프로모션 제공 행사이다. 여의도 봄꽃축제 개최에 맞춰 지역상권 및 관광활성화를 위해 관광세일페스타 행사를 추진한다. 온라인 플랫폼·오프라인을 통해 영등포구 내 200여개 음식점 및 관광사업체 예약,주문,결제 가능히먀,  관광세일페스타온라인 플랫폼·오프라인 이용 고객 대상 할인행사를 진행한다.(4/5/9/10월 예정) 		
",선택안함,선택안함
2024 서울서커스페스티벌,4427.0,"서울특별시, 서울문화재단",02-758-2036,서울특별시 용산구 양녕로 445 (이촌동)노들섬,37.517717885399996,126.9580520415,"서울서커스페스티벌은 올해로 7회를 맞이하는 국내 유일의 서커스 축제이다. 국내외 우수한 서커스 공연과 함께 온가족이 즐길 수 있는 체험 프로그램, 영화, 전시, 플리마켓 등 다양한 볼거리와 재미를 선사할 예정이다. 따뜻한 봄날, 노들섬에서 즐거운 추억을 쌓는 시간이 되시길 바란다.","서울특별시, 서울문화재단",02-758-2036,서울문화재단,02-3437-6457,20240504.0,20240505.0,12:00~20:00,노들섬,,무료,,,,,,,,"행사소개:서울서커스페스티벌은 올해로 7회를 맞이하는 국내 유일의 서커스 축제이다. 국내외 우수한 서커스 공연과 함께 온가족이 즐길 수 있는 체험 프로그램, 영화, 전시, 플리마켓 등 다양한 볼거리와 재미를 선사할 예정이다. 따뜻한 봄날, 노들섬에서 즐거운 추억을 쌓는 시간이 되시길 바란다.
행사내용:1. 공연 프로그램
 - 국내외 수준 높은 서커스 공연 15여 개 작품
 - 버나놀이, 줄타기부터 공중 서커스, 씨어휠까지 전통과 현대가 어우러진 다양한 작품
 - 누구나 직접 참여해볼 수 있는 체험형 서커스 작품 

2. 부대 프로그램
 - 서커스 컨셉의 설치미술, 드로잉 등 작품 전시
 - 서커스 소재의 영화 상영
 - 서커스 예술 놀이터
 - 플리마켓
",선택안함,선택안함
노원 북 페스티벌,1618.0,노원구청,02-2289-3405,서울특별시 노원구 상계동620 노원구립도서관,37.6700685016,127.050400411,"*대표 먹거리 정보는 전년도(2023년) 축제 내용으로, 2024년도 축제 내용은 업데이트 중에 있습니다.*<br><br>2024 노원 북 페스티벌! 이번엔 차 없는 거리에서 시민들과 만남의 시간을 갖는다. 올해는 탄소중립을 중심으로 하여 '응가' '똥'을 테마로 자원순환과 관련한 다양한 행사를 진행한다. 북쉼터, 전시존, 체험존, 서점 마켓, 움직이는 도서관 등 다채로운 참여 행사뿐 만아니라, 어린이 그림책을 내용으로 하는 '똥벼락' 마당극부터 '강아지똥' 연극까지 기획공연들로 시민들을 찾아간다. 2024 노원 북 페스티벌(Book Festival)'은 노해로 일대 곳곳에서 책과 함께 이야기하고, 행동하며 환경에 대해 생각하는 축제이다.",노원구청,02-2289-3405,노원구립도서관,,20240413.0,20240413.0,10:00~18:00,노원역 사거리~순복음교회 거리 구간 일부,,무료,,,,,,,,"행사소개:*대표 먹거리 정보는 전년도(2023년) 축제 내용으로, 2024년도 축제 내용은 업데이트 중에 있습니다.*<br><br>2024 노원 북 페스티벌! 이번엔 차 없는 거리에서 시민들과 만남의 시간을 갖는다. 올해는 탄소중립을 중심으로 하여 '응가' '똥'을 테마로 자원순환과 관련한 다양한 행사를 진행한다. 북쉼터, 전시존, 체험존, 서점 마켓, 움직이는 도서관 등 다채로운 참여 행사뿐 만아니라, 어린이 그림책을 내용으로 하는 '똥벼락' 마당극부터 '강아지똥' 연극까지 기획공연들로 시민들을 찾아간다. 2024 노원 북 페스티벌(Book Festival)'은 노해로 일대 곳곳에서 책과 함께 이야기하고, 행동하며 환경에 대해 생각하는 축제이다.		

행사내용:1. 메인프로그램<br>
- 개막식<br>
- 마당극 ‘똥벼락’<br>
- 노원구 한 책 선포식<br>
- 연극 ‘강아지똥’<br><br>

2. 소비자 참여 프로그램 <br>
- 북쉼터<br>
- 전시존<br>
- 체험존<br>
- 서점 마켓<br>
- 움직이는 도서관 
",선택안함,선택안함
금산 보곡산골 산벚꽃 축제,32717.0,금산군,041-750-2310,충청남도 금산군 자진뱅이길 39산꽃벚꽃마을 오토캠핑장 일대,36.1943616874,127.5667171482,"행사가 열리는 보곡산골마을은 국내 최대의 산벚꽃 자생 군락지로 약 약 1,000만㎡의 넓은 산자락을 화려한 산벚꽃이 차지하고 있다. 그 밖에도 산딸나무, 병꽃나무, 조팝나무, 진달래, 생강나무 등이 자생하며, ​앞다퉈 꽃을 피워 내는 무공해 청정지역이다. ​또한, 이름 모를 야생화들이 아기자기하게 피어 있어 ‘보이네요 길’에서 ‘자진뱅이 길’까지 가는 오솔길은 꽃들과 함께 도란도란 얘기 꽃을 ​피우기 좋은 산책길이 된다.",금산군,041-750-2310,재단법인 금산축제관광재단,,20240406.0,20240414.0,10시~16시,산꽃벚꽃마을 오토캠핑장 일대,,무료,,,,,,,,"행사소개:행사가 열리는 보곡산골마을은 국내 최대의 산벚꽃 자생 군락지로 약 약 1,000만㎡의 넓은 산자락을 화려한 산벚꽃이 차지하고 있다. 그 밖에도 산딸나무, 병꽃나무, 조팝나무, 진달래, 생강나무 등이 자생하며, ​앞다퉈 꽃을 피워 내는 무공해 청정지역이다. ​또한, 이름 모를 야생화들이 아기자기하게 피어 있어 ‘보이네요 길’에서 ‘자진뱅이 길’까지 가는 오솔길은 꽃들과 함께 도란도란 얘기 꽃을 ​피우기 좋은 산책길이 된다.
행사내용:- 산꽃 술래길 건강걷기와 
- 보물찾기, 숲 속 작은 음악회
- 숲 속 공예전시 및 시화전 등
- 보곡산골만의 정취를 느낄 수 있는 각종프로그램
",선택안함,선택안함
2024 베리베리 빵빵데이 천안,31154.0,(사)대한제과협회 천안시지부,041-561-4029,충청남도 천안시 서북구 차돌고개5길 24 (쌍용동)2층,36.7994290959,127.13446438209999,"‘2024 베리베리 빵빵데이 천안’은 봄의 대표 과일인 딸기와 함께하는 참여형 베이커리 행사이다. 천안 내 행사 참여 동네 빵집을 빵지순례하며 천안 딸기 및 농축산물을 활용한 다양한 베이커리 제품을 구매하고 가족, 친구와 특별한 추억을 만들수 있는 좋은 기회다. 톡톡 튀는 레시피와 건강하고 트랜디한 메뉴가 가득한 천안의 빵집으로 빵지순례를 떠나볼까?",(사)대한제과협회 천안시지부,041-561-4029,(사)대한제과협회 천안시지부,041-561-4029,20240427.0,20240428.0,행사 참여 동네 빵집 영업시간,행사 참여 동네 빵집,,행사기간 관련 베이커리 제품 10% 할인(업소별 상이),,없음,없음,,,,,"행사소개:‘2024 베리베리 빵빵데이 천안’은 봄의 대표 과일인 딸기와 함께하는 참여형 베이커리 행사이다. 천안 내 행사 참여 동네 빵집을 빵지순례하며 천안 딸기 및 농축산물을 활용한 다양한 베이커리 제품을 구매하고 가족, 친구와 특별한 추억을 만들수 있는 좋은 기회다. 톡톡 튀는 레시피와 건강하고 트랜디한 메뉴가 가득한 천안의 빵집으로 빵지순례를 떠나볼까?	
행사내용:1. 빵지순례단 : 출정식, 행사 기간 동안 천안시 내 참여 동네 빵집 빵지순례
-모집기간 : 24.03.14-24.03.28 
2. 베이킹 체험 : 호두과자 굽기, 쿠키 꾸미기 등 
-모집기간 : 24.04.04-24.04.09 
3. 이벤트 : 천안 딸기 및 지역 농축산물을 활용한 다양한 제품 판매, 관련 제품 할인 행사 이벤트, 소정의 선물 증정
",선택안함,선택안함
"테미봄축제 ""테미와 봄""",34949.0,대전문화재단,042-335-5704,대전광역시 중구 보문로205번길 13 (대흥동),36.3207891354,127.4230876502,"2024. 3. 30.(토) ~ 3. 31.(일) 이틀간 개화시기를 맞이하여 테미오래에서 두번째의 테미봄축제 '테미와 봄'을  개최한다. <br>
행사는 10시부터 18시까지 진행되며 종일운영되는 프로그램으로는 푸드트럭, 체험부스, 근현대교복체험, 꿈돌이와 포토타임, 에어바운스, 미션에어스포츠(4종-양궁, 축구, 야구, 농구)로 놀거리, 먹거리, 즐길거리가 풍성한 프로그램으로 구성되어있으며 14시에는 다양한 공연이 준비되어 있다. 미션에어스포츠의 모든 미션 통과시, 1인 1회 선착순으로 기념품 증정도 진행된다. 축제 당일 테미오래 주차장은 사용 불가하므로 인근 기관(대전대흥초등학교, 대전중학교, 대전광역시 노인복지관, 대전테미예술창작센터)에 주차하면 된다.",대전문화재단,042-335-5704,테미오래,,20240330.0,20240331.0,10:00~18:00,테미오래,,"무료(푸드트럭, 체험부스만 유료 운영)",,,,,,,,"행사소개:2024. 3. 30.(토) ~ 3. 31.(일) 이틀간 개화시기를 맞이하여 테미오래에서 두번째의 테미봄축제 '테미와 봄'을  개최한다. <br>
행사는 10시부터 18시까지 진행되며 종일운영되는 프로그램으로는 푸드트럭, 체험부스, 근현대교복체험, 꿈돌이와 포토타임, 에어바운스, 미션에어스포츠(4종-양궁, 축구, 야구, 농구)로 놀거리, 먹거리, 즐길거리가 풍성한 프로그램으로 구성되어있으며 14시에는 다양한 공연이 준비되어 있다. 미션에어스포츠의 모든 미션 통과시, 1인 1회 선착순으로 기념품 증정도 진행된다. 축제 당일 테미오래 주차장은 사용 불가하므로 인근 기관(대전대흥초등학교, 대전중학교, 대전광역시 노인복지관, 대전테미예술창작센터)에 주차하면 된다.

행사내용:1. 메인 프로그램: 오프닝 및 공연(14시)<br>
2. 부대 프로그램: 푸드트럭, 체험부스, 포토부스, 근현대교복체험, 꿈돌이와 포토타임, 에어바운스, 미션에어스포츠(4종)<br>
3. 소비자 참여 이벤트: 미션에어스포츠의 모든 미션 통과시 1인 1회 기념품 증정(선착순)

",선택안함,선택안함
2024 부활절 퍼레이드,3172.0,(사)한국교회총연합,02-6333-1127,서울특별시 종로구 세종대로 175,37.572061898499996,126.97632106350001,"한국 교회와 함께하는 2024 부활절 퍼레이드는 ‘부활을 기다리는 사람들’이라는 슬로건으로 3월 30일(토) 광화문광장 ~ 서울광장에서 열리는 문화 행사이다. 약 10,000여명이 함께하는 대규모 퍼레이드 행진과 기념음악회, 상설행사로 구성되어 다양한 볼거리와 즐길 거리를 선사할 예정이다.",(사)한국교회총연합,02-6333-1127,"CTS기독교TV, CTS문화재단",02-6333-1127,20240330.0,20240330.0,15:00-21:00 <br>퍼레이드 15:00 ~ 17:30 <br>음악회 18:30 ~ 20:30 <br>상설부스 10:00 ~ 21:00,광화문 광장 ~ 서울 광장,,무료,,,전 연령 참여가능,,,,,"행사소개:한국 교회와 함께하는 2024 부활절 퍼레이드는 ‘부활을 기다리는 사람들’이라는 슬로건으로 3월 30일(토) 광화문광장 ~ 서울광장에서 열리는 문화 행사이다. 약 10,000여명이 함께하는 대규모 퍼레이드 행진과 기념음악회, 상설행사로 구성되어 다양한 볼거리와 즐길 거리를 선사할 예정이다.
행사내용:퍼레이드 : MC 신현준, MC 이지애, 마칭밴드, 난타 퍼포먼스 및 치어리딩 등 다양한 장르와 행렬로 구성된 60여개 팀
음악회 : MC 이지훈, MC 박소연, 인순이, 장민호, 아트비트, 신델라, 콜링콰이어, 잠비아 희망 합창단 등
참가안내:홈페이지 및 SNS 참고
",선택안함,선택안함
2024 LOTTE WORLD TOWER SKY RUN,5551.0,롯데물산,02-3496-7805,서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰,37.5142459111,127.10403051709999,"롯데월드타워 수직마라톤 대회는 롯데월드타워 123층, 총 2,917개의 계단을 오르며 한계에 도전하는 이색 스포츠 대회로 참가자들에게 도전정신과 건강에 대한 소중함을 일깨워 주는 국내 최대 규모, 최고 높이의 수직마라톤 대회이다. 
참가자들의 참가비는 환아들의 건강한 발달과 성장지원을 위해 국내 최초의 소아재활전문 병원인 보바스 어린이 의원에 전액 기부될 예정이다.

[대회 안내]
- 참가자격 : 남녀노소 누구나 참여 가능 (단, 경쟁부문 참가연령 제한 : 대회당일 만 18세 이상 ~ 65세 미만)
- 신청기간 : 3월 20일(수) 11:00 ~ 3월 21일(목) 17:00 / 2일간
- 접수방법 : 롯데ON 스카이런 상품페이지 온라인 접수
*자세한 내용은 홈페이지 참고.",롯데물산,02-3496-7805,,02-3496-7805,20240420.0,20240420.0,09:00~18:00,"롯데월드타워, 아레나광장",,"1인당 50,000원",,,"남녀노소 누구나 참여 가능 (단, 경쟁부문 참가연령 제한 : 대회당일 만 18세 이상 ~ 65세 미만)",,,,,"행사소개:롯데월드타워 수직마라톤 대회는 롯데월드타워 123층, 총 2,917개의 계단을 오르며 한계에 도전하는 이색 스포츠 대회로 참가자들에게 도전정신과 건강에 대한 소중함을 일깨워 주는 국내 최대 규모, 최고 높이의 수직마라톤 대회이다. 
참가자들의 참가비는 환아들의 건강한 발달과 성장지원을 위해 국내 최초의 소아재활전문 병원인 보바스 어린이 의원에 전액 기부될 예정이다.

[대회 안내]
- 참가자격 : 남녀노소 누구나 참여 가능 (단, 경쟁부문 참가연령 제한 : 대회당일 만 18세 이상 ~ 65세 미만)
- 신청기간 : 3월 20일(수) 11:00 ~ 3월 21일(목) 17:00 / 2일간
- 접수방법 : 롯데ON 스카이런 상품페이지 온라인 접수
*자세한 내용은 홈페이지 참고. 
행사내용:*자세한 대회 안내는 홈페이지 참조<a href=""https://www.lwt.co.kr/skyrun/introduce.do"" target=""_blank"" title=""새창 : LOTTE WORLD TOWER SKY RUN 대회안내"">https://www.lwt.co.kr/skyrun/introduce.do</a>
",선택안함,선택안함
파주슈필 2024,10859.0,코리아보드게임즈,031-956-8884,경기도 파주시 얼음실로 40 경기영어마을파주캠프,37.7852432234,126.6985404091,"<파주슈필 2024>는 온 가족이 함께 즐길 수 있는 보드게임 나들이 행사다. 5월 25일, 26일 양일간 경기미래교육 파주캠퍼스(구 영어마을)에서 열리며, 고풍스러운 건물 실내/외에서 보드게임 전시, 체험, 이벤트, 쇼핑을 한꺼번에 즐길 수 있다. 돗자리가 있다면 축구장에 마련된 나들이 공간에 펼치고 가족과 함께 휴식을 취할 수 있다. 본 행사는 파주 소재 보드게임 전문 기업, 코리아보드게임즈가 주관하며, 할리갈리, 루미큐브, 스플렌더, 커피 러시 등 대중적인 보드게임을 비롯 직소 퍼즐, 그래비트랙스를 체험해 볼 수 있을 뿐 아니라, 행사를 위해 특별히 마련된 대형 보드게임을 가족과 함께 온몸으로 즐길 수 있다. 할인된 가격으로 게임을 구매할 수 있는 좋은 기회이기도 하다. 참가비는 무료이며 사전 등록 및 현장 등록을 통해 선물을 증정한다.",코리아보드게임즈,031-956-8884,코리아보드게임즈,031-956-8884,20240525.0,20240526.0,10:00~17:00,경기미래교육 파주캠퍼스 구)파주 영어마을,,무료,,,,,,,,"행사소개:<파주슈필 2024>는 온 가족이 함께 즐길 수 있는 보드게임 나들이 행사다. 5월 25일, 26일 양일간 경기미래교육 파주캠퍼스(구 영어마을)에서 열리며, 고풍스러운 건물 실내/외에서 보드게임 전시, 체험, 이벤트, 쇼핑을 한꺼번에 즐길 수 있다. 돗자리가 있다면 축구장에 마련된 나들이 공간에 펼치고 가족과 함께 휴식을 취할 수 있다. 본 행사는 파주 소재 보드게임 전문 기업, 코리아보드게임즈가 주관하며, 할리갈리, 루미큐브, 스플렌더, 커피 러시 등 대중적인 보드게임을 비롯 직소 퍼즐, 그래비트랙스를 체험해 볼 수 있을 뿐 아니라, 행사를 위해 특별히 마련된 대형 보드게임을 가족과 함께 온몸으로 즐길 수 있다. 할인된 가격으로 게임을 구매할 수 있는 좋은 기회이기도 하다. 참가비는 무료이며 사전 등록 및 현장 등록을 통해 선물을 증정한다. 
행사내용:1. 메인프로그램 : 보드게임, 퍼즐, 그래비트랙스 체험관
2. 부대프로그램 : 2024 코리아보드게임즈 보드게임 공모전 2차 심사
3. 소비자 참여 프로그램 : 대형 보드게임 체험
",선택안함,선택안함
운현궁 설맞이 민속 한마당,3131.0,서울특별시,02-766-9090,서울특별시 종로구 삼일대로 464 (운니동),37.575822761,126.986825555,"민족의 큰 명절 설을 맞아 운현궁을 찾은 관람객의 뜻깊은 명절맞이, 신년맞이를 기원한다. 
떡국나눔행사, 전통놀이체험, 공예체험, 설맞이 전통예술공연의 프로그램이 준비중이다. 
서울 시민 및 국내·외 관람객 누구나 참여할 수 있다.",서울특별시,02-766-9090,㈜예문관 운현궁관리사무소,,20240209.0,20240212.0,11:00 ~ 16:00,운현궁,,무료(일부 유료),,,,,,,,"행사소개:민족의 큰 명절 설을 맞아 운현궁을 찾은 관람객의 뜻깊은 명절맞이, 신년맞이를 기원한다. 
떡국나눔행사, 전통놀이체험, 공예체험, 설맞이 전통예술공연의 프로그램이 준비중이다. 
서울 시민 및 국내·외 관람객 누구나 참여할 수 있다.
행사내용:1. 떡국나눔행사: 2024년 2월 10일(토) 12:00~ (떡국 300인분 선착순 나눔/준비분 소진 시 행사 종료) <br><br>
2. 공예, 전통문화체험<br>
 - 부적찍기: 재물운, 건강운(체험비 무료)<br>
 - 놀이 체험: '청룡즈 떡 먹이기(콩주머니 던지기)'(참가비:3,000원)<br>
 - 공예 체험: 1일 2개 체험(체험비: 각 5,000원)(재료 상황에 따라 체험 품목 변동 가능)<br>
  1) 물고기 풍경 만들기<br>
  2) 클레이 탈 만들기<br>
  3) 연 만들기<br>
  4) 한지 거울 만들기<br>
  5) 팽이 만들기<br><br>
3. 전통예술공연<br>
 - 1회차: 2월 10일(토) 14:00~ / 2회차: 2월 11일(일) 14:00~ <br>
 - 1회차: 타악(지신밟기, 사물놀이 등) / 2회차: 퓨전국악(관현악, 소리, 타악)<br>	

",,
포항 장기유배문화제,37945.0,포항시,054-289-7855,경상북도 포항시 남구 장기면 장기로 336,35.8970115859,129.4942690993,"포항시 장기면은 조선시대 대표적인 유배지 중 하나로, 우암 송시열과 다산 정약용 등 유명 석학과 정객들이 머물면서 학문 연구와 문풍이 되살아난 곳이다. 이러한 유배문화의 역사와 가치를 현대적 콘셉트로 재해석하여, 아름다운 경관을 배경으로 풍성한 문화예술 프로그램을 선보인다.",포항시,054-289-7855,포항문화재단,,20240419.0,20240420.0,11:00 ~ 17:00,장기초등학교,,무료,,,,,,,,"행사소개:포항시 장기면은 조선시대 대표적인 유배지 중 하나로, 우암 송시열과 다산 정약용 등 유명 석학과 정객들이 머물면서 학문 연구와 문풍이 되살아난 곳이다. 이러한 유배문화의 역사와 가치를 현대적 콘셉트로 재해석하여, 아름다운 경관을 배경으로 풍성한 문화예술 프로그램을 선보인다. 	
행사내용:1. 메인프로그램 : 개막행사, 마당극 <장기현감과 유배객>, 축하공연 등 <br>
2. 체험 프로그램 : <초등학생 백일장>, <장기 문화재 탐방대>, <장기, 문화재를 찾아라!> 등 <br>
3. 상설 프로그램 : 장기현 시간여행(전통놀이 체험), 장기현 체험촌(체험 프로그램) 
",,
우도 소라 축제,63365.0,우도면,064-728-4321,제주특별자치도 제주시 우도면 연평리1737-9번지 일원,33.4924691465,33.49225204661,"우도 내 연간 142여만명 이상이 방문함에 따라 지역 특산물인 뿔소라를 테마로 다양한 볼거리, 먹거리, 즐길거리를 통한 지역 특산품 홍보와 지역문화를 접목하는 축제룰 개최한다.",우도면,064-728-4321,우도면연합청년회,,20240426.0,20240428.0,09:00~21:00,우도면 천진항 일원,,무료,,,,,,,,"행사소개:우도 내 연간 142여만명 이상이 방문함에 따라 지역 특산물인 뿔소라를 테마로 다양한 볼거리, 먹거리, 즐길거리를 통한 지역 특산품 홍보와 지역문화를 접목하는 축제룰 개최한다.
행사내용:1. 메인프로그램<br>
 - 소라이벤트(소라 및 지역 특산물 경매, 소라퀴즈 서바이벌, 내 손안에 소라 등 직접 참여 체험)<br>
 - 우도체험(해산물 채취 및 우도팔경 체험, 선상낚시체험 및 우도사진전 등)<br><br>
2. 부대프로그램 <br>
 - 야간행사 우밤 나이트, 불꽃놀이<br>
 - 건강체험과 연계한 플로깅<br><br>
3. 소비자 참여 프로그램<br>
 - 장기자랑(4개리 주민 장기자랑, 나도 슈퍼스타, 우밤 나이트 등)<br>
 - 우도 역사퀴즈대회, 우도 소라죽 만들기, 플리마켓 등<br><br>
4. 기타 내용 : 일회용컵 없는 리싸이클링 축제 추진 등
",선택안함,선택안함
BE KIND TO ANIMALS WEEK,63355.0,스누피가든,064-903-1111,제주특별자치도 제주시 구좌읍 금백조로 930,33.443401779,126.7786189466,"3월 18일부터 3월 24일까지 BE KIND TO ANIMALS WEEK가 3월 23일 국제강아지의날을 기념하여 제주도 구좌읍 송당리에 위치한 스누피가든에서 진행될 예정이다.<br>
행사 기간동안 반려동물 동반 입장이 가능하며 반려견 미로 탈출 게임, HAPPINESS IS WARM PUPPY 이벤트를 진행한다. 또한 반려동물 동반 입장 고객의 편의를 위해 야외가든 내에 배변봉투와 반려동물 약수터, 도그파킹 존이 설치될 예정이다. 상세한 행사 내용은 스누피가든 인스타그램을 통해 공지할 예정이니 참고하여 이용하면 된다.",스누피가든,064-903-1111,,,20240318.0,20240324.0,09:00~18:00,스누피가든,,"유료(성인 19,000원 / 청소년 16,000원 / 소인 14,000원)<br> * 36개월 미만 무료 입장<br> * 제주도민 20% 할인<br> * 경로 65세 이상 20% 할인<br> * 장애인/국가유공자 9,500원<br> ※ 무료 입장 및 할인 적용 시 신분증 소지자에 한하여 적용",,,,,,,,"행사소개:3월 18일부터 3월 24일까지 BE KIND TO ANIMALS WEEK가 3월 23일 국제강아지의날을 기념하여 제주도 구좌읍 송당리에 위치한 스누피가든에서 진행될 예정이다.<br>
행사 기간동안 반려동물 동반 입장이 가능하며 반려견 미로 탈출 게임, HAPPINESS IS WARM PUPPY 이벤트를 진행한다. 또한 반려동물 동반 입장 고객의 편의를 위해 야외가든 내에 배변봉투와 반려동물 약수터, 도그파킹 존이 설치될 예정이다. 상세한 행사 내용은 스누피가든 인스타그램을 통해 공지할 예정이니 참고하여 이용하면 된다.		

행사내용:1. 반려동물 동반 프로그램 : 반려견 미로 탈출 게임, HAPPINESS IS WARM PUPPY 이벤트<br>
2. 부대 프로그램 : 프리즈비 던지기, 줄넘기, 우든 어드벤쳐<br>
3. 기타 먹거리 : 스누피 빵, 카페 스누피, 루시의 레모네이드 카페, 스누피의 푸드트럭
",선택안함,선택안함
