명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
돈의문박물관마을,3178,,,서울특별시 종로구 송월길 14-3,37.5688843508,126.96855519430001,"돈의문박물관마을은 한양도성 서쪽 성문 안 첫 동네로서의 역사적 가치와 흘러간 근현대 서울의 삶과 기억을 고스란히 품고 서울형 도시재생 방식을 통해 재탄생한 도심 속 마을 단위 역사·문화공간이다. 돈의문박물관마을은 이웃한 종로구 교남동 일대와 더불어 2003년 ‘돈의문 뉴타운’ 지역으로 선정되면서, 기존의 건물을 모두 허물고 근린공원으로 조성될 계획이었다. 그러나 서울시는 한양도성 서쪽 성문 안 첫 동네로서 새문안 동네의 역사적 가치를 알리고 마을의 삶과 기억이 잘 보존되어 있는 작은 마을 그 자체를 박물관마을로 남겨 서울시민의 역사·문화 자산으로 조성하고자 하였다. 마을 내의 건물은 최대한 살려 리모델링하였으며, 일부 집을 허문 자리에는 넓은 마당을 만들었다. 근현대 건축물 및 도시형 한옥, 100년의 역사를 지닌 골목길 등 정겨운 마을의 모습은 같은 자리에 그대로 남아 많은 시민이 즐기고 체험할 수 있는 새로운 문화의 장으로 재탄생하였다. 현재 돈의문박물관마을은 ‘서울 100년, 도심 속 시간여행놀이터’ 콘셉트로 새롭게 단장을 마치고 시민들을 맞이하고 있다. 40개 동의 기존 건물은 그대로 두면서 본래 조성 취지인 ‘살아있는 박물관마을’이라는 정체성을 되살릴 수 있도록 일 년 내내 전시, 체험, 공연, 마켓 등이 열리는 '참여형' 공간으로 콘텐츠를 꽉 채워 전면 재정비한 것이 큰 특징이다.",,,"동시간 약 1,000명",10:00~19:00,"매주 월요일(단, 월요일이 공휴일인 경우 개방) / 1월 1일","무료(단, 체험료 별도)",,,,,불가,가능,없음,"체험프로그램:예술가의 시간, 야외 미션 게임, 추억의 음악다방, 돈의문 의상실<br>
※ 자세한 사항은 홈페이지 참조
외국어 안내서비스:없음(영어 리플릿 비치)

한국어 안내서비스:[도슨트 투어]<br>
- 1회차 13:30 / 40분 내외 / 18인 정원<br>
- 2회차 15:00 / 60분 내외 / 10인 정원<br>
※ 하루 전까지 돈의문박물관마을 홈페이지에서 예약 가능 (선착순 예약)<br>
※ 투어 시작 전까지 참여자 정원 미만이거나 예약자가 오지 않을 시 현장 예약 가능<br>
※ 매월 넷째 주 수요일 14:00에 다음 달에 대한 예약 페이지 열림
예약안내:[단체관람 예약 안내]<br>
- 방문 10일 전까지 홈페이지를 통해 사전 단체 관람 신청 권장<br>
(매주 금요일 오후 6시 이후 신청 시 입력한 이메일 주소로 확인 메일 발송)<br>
- 예약 없이 방문한 단체는 방문 이후 홈페이지를 통해 사후 단체 관람 신청 요청 요망<br>
- 단체 관람 신청 취소의 경우 반드시 방문 2일전까지 전화로 연락 요망(단체 관람 담당자  02-739-6994)<br>
※ 단체 관람 관련 전화 문의는 매주 화요일~토요일 가능(월요일 및 공휴일 전화 문의 불가)
"
뮤지엄산,26357,,,강원특별자치도 원주시 지정면 오크밸리2길 260,37.4154955065,127.82373752790001,"산속에 감춰진 Museum SAN(Space Art Nature)은 노출 콘크리트의 미니멀한 건축물의 대가 ‘안도 타다오’의 설계로 공사를 시작하여 빛과 공간의 예술가 ‘제임스 터렐’의 작품을 마지막으로 2013년 5월 개관하였다. 뮤지엄은 오솔길을 따라 웰컴 센터, 잔디주차장을 시작으로 플라워가든, 워터가든, 본관, 명상관, 스톤가든, 제임스터렐관으로 이어져 있다. 본관은 네 개의 윙(wing) 구조물이 사각, 삼각, 원형의 공간들로 연결되어 대지와 하늘을, 사람으로 연결하고자 하는 건축가의 철학이 담겨있다. 또한 뮤지엄은 상설전시, 기획전시뿐만 아니라 다양한 체험과 교육 프로그램을 진행 중이다.<br>
<u>놓치지 말 것</u>
본관 한 편에 자리한 카페테라스는 이름 그대로 테라스에서 360도 펼쳐지는 산의 전경을 즐기며 쉬었다 가기 좋다. 그리고 스톤가든 인근에 위치한 명상관에서는 아로마 향과 싱잉볼 소리에 집중하며 몸과 마음을 안정시키고, 곡선 모양의 창 너머로 풍경을 감상하며 호젓한 시간을 즐길 수 있다.",,,,"10:00~18:00<br />
※ 입장 매표 마감 : 17:00",매주 월요일,전시별 상이 홈페이지 참고,,,가능,,가능,불가,없음,"체험프로그램:제임스터렐관 체험, 명상관 체험, 판화공방 체험<br/>
※ 자세한 사항은 홈페이지 참조
한국어 안내서비스:* 화, 수, 목, 금 : 11:00(건축), 13:00(박물관), 13:30(미술관), 14:00(건축)<br>
* 주말/공휴일 : 11:00(건축), 13:00(박물관), 13:30(미술관), 14:00(건축), 15:00(박물관), 15:30(미술관)
예약안내:20인 이상 방문 시, 7일 전 사전예약자에 한하여 선착순으로 할인 가능(주말 및 공휴일 제외)<br/>
※ 단체예약 접수 및 문의 033-730-9000
"
바이나흐튼 크리스마스박물관,63522,,,제주특별자치도 서귀포시 안덕면 평화로 654,33.291341969,126.32781983129999,"서귀포시 안덕면에 위치한 바이나흐튼 크리스마스 박물관은 주인 부부가 여행하며 모은 크리스마스 장식과 관련 물품이 전시되어 있다. 독일어로 크리스마스를 뜻하는 ‘바이나흐튼’과 독일의 건축물을 참고해 만들어 유럽의 크리스마스 느낌이 물씬 나는 공간이다. 개인 박물관치곤 전시물의 종류도 다양하고 소장 가치가 뛰어난 것도 많은 편이다. 일 년 내내 크리스마스 분위기를 느낄 수 있는 곳이지만 이곳의 12월은 조금 더 특별하다. 크리스마스를 맞기 전, 한 달간 크리스마스 마켓 때문이다. 매년 수많은 셀러들이 참여, 크리스마스와 관련된 다양한 라이프스타일 제품들을 판매하며, 유명 셰프들이 만드는 다채로운 요리와 관람객 누구나 참여할 수 있는 다양한 체험 프로그램들이 마련된다.",,,,10:30~18:00,연중무휴,무료,,약 1~2시간,가능,,없음,없음,가능,"소장품현황:16세기 이새 트리(the Jesse Tree)의 원본 판화, 크리스마스 피라미드, 18세기~20세기 초의 크리스마스 장식 등
"
헤이리스,10859,,,경기도 파주시 탄현면 헤이리마을길 7,37.7883427937,126.6947323369,헤이리마을 1 GATE 진입 후 왼쪽 첫 번째 건물에 있는 갤러리이다. 감성 넘치는 그림을 조향사가 추천한 향기로 표현한 향수와 함께 감상할 수 있다. 전시 중 마음에 들었던 향에 원하는 향료를 추가하여 만드는 체험 프로그램이 있다. 그림을 향기로 표현하여 나만의 향수로 만드는 조향 클래스에 참여하여 나만의 향을 만들어 볼 수도 있다. 전시 작품과 기간은 수시로 변동되므로 방문 전에 확인이 필요하다.,,,,10:00~18:00 (입장마감 17:00),월요일 휴무 (공휴일일 경우 정상영업),"- 입장료 7,000원<br>- 입장+시향키트 10,000원 <br>- 입장+시향키트+섬유향수만들기 체험 22,000원<br>- 입장+시향키트+디퓨저만들기 체험 25,000원<br>- 전시관람+ 나만의 향수만들기 50,000원(사전예약 필수)",,,가능,,없음,없음,없음,"체험프로그램:체험 패키지 , 그림조향 클래스 (나만의 향수 만들기)
"
이응노 미술관,35204,,,대전광역시 서구 둔산대로 157(만년동),36.3668637804,127.3870118474,"대전 이응노미술관은 이 지역이 낳은 세계적인 작가 고암 이응노(1904-1989) 화백의 예술 연구와 전시를 맡아 이 시대 고암 정신을 확장하고 계승할 목적으로 2007년 5월 개관하였다. 이응노의 삶과 예술 활동을 재조명하고, 그의 예술세계를 연구함으로써 한국 미술의 발전에 기여하고자 하는 뜻을 내포하고 있다. 대전광역시 서구 만년동 396번지에 있으며, 지하 1층, 지상 2층 건물이다. 박물관 건축설계는 프랑스 건축가 로랑 보두앵이 맡았다. 2007년 5월 3일 개관하였고 개관 기념전으로 ‘고암, 예술의 숲을 거닐다-파리에서 대전으로’를 열었다. 그동안 잘 알려지지 않았던 고암 선생의 작품인 릴리프(종이 부조), 판화, 은지화, 페인팅, 몽돌 등 이응노 작품의 다양성에 초점을 두고 개관 3주년 기획전이 벌어지고 있다. 고암의 작품세계가 동양과 서양의 만남이었던 것처럼 이응노미술관의 건축물은 한국작가 이응노와 프랑스 건축가 로랑 보드앵의 만남이 자아낸 조화라는 점도 매우 흥미로운 일이다.

* 대전 이응노미술관이 건립되기까지 *
대전 이응노미술관의 청사진이 완성된 것은 고암 선생의 미망인 박인경 여사가 운영했던 서울 평창동의 이응노미술과의 폐관에 이은 2005년 9월이다. 평창동 미술관의 소장품을 인수한 대전시는 이응노미술관의 대전시대를 선포한 것이다. 미술관은 프랑스 건축가 로랑 보두앵의 설계로 2006년 말 완공되었다.",,"지하 1층, 지상 2층",,"3~10월 10:00~19:00<br>
11~2월 10:00~18:00<br>
※ 관람시간 종료 30분전 입장마감","1월 1일 / 명절 / 매주 월요일 (다만, 공휴일인 경우 그 다음날 휴무)","개인 - 어른(25~64세) 1,000원 / 어린이,청소년 600원<br>단체(20인 이상) - 어른(25~64세) 800원 / 어린이,청소년 400원<br>※ 무료 : 노인(65세 이상) 및 유아(6세 이하), 장애인(1급~3급) 및 보호자, 국가유공자, 독립유공자, 5.18 민주 유공자, 다자녀 우대 ‘꿈나무 사랑카드’소지자 등<br>※ 기획전 또는 특별전시의 경우 별도의 관람료가 책정될 수 있음<br>※ 매월 마지막 수요일은 ‘문화가 있는 날’(무료 관람)",,,가능,,없음,불가,없음,"한국어 안내서비스:[문화자원봉사자(도슨트) 전시 해설 가능]<br />
화~일 : 14:00, 16:00<br />
※ 전시에 따라 도슨트 일정이 변경될 수 있으니, 방문 전 전화 문의<br /><br />
"
대전컨벤션센터(DCC),34125,,,대전광역시 유성구 엑스포로 107 대전컨벤션센터,36.3750212633,127.391694541,"대전컨벤션센터(DCC)는 대전 유성구 엑스포과학공원 인근에 위치한 컨벤션센터로 21세기의 새로운 성장 동력 산업으로 떠오른 컨벤션 산업을 지원하기 위하여 설립되었다. 
제1전시장은 2000여 석의 그랜드 볼룸과 2600석 규모의 전시홀을 갖춘 최첨단 컨벤션센터이다. 2022년 3월 29일에는 옛 대전무역전시관 부지에 제2전시장을 준공하였는데, 지하 2층~지상 3층 규모로 건설되었다. 현재 두 전시장은 대전관광공사가 운영하고 있으며 ‘2009 국제우주대회’, ‘idea fec 2010’, ‘대전 국제 소믈리에 페스티벌’ 등과 같은 여러 국제 행사를 유치, 개최했다.",,"지하 1층, 지상 4층, 부지 24,281㎡, 연면적 30,149㎡","그랜드볼룸 2,000석, 전시홀 2,600석",행사별로 상이,연중무휴,이용요금은 시설별 상이하므로 홈페이지 참조 또는 전화문의 요망,,,"가능 (지하 주차장 366대, 옥외주차장 34대)","- 최초 1시간 무료<br>
- 매 30분마다 500원<br>
- 1일 주차 5,000원<br>
※ 주차시간이 30분 미만일 경우 30분으로 간주함<br>
※ 국가유공자, 장애인 자동차, 경형 자동차 및 하이브리드 자동차는 100분의 50을 경감",없음,불가,없음,"사업내용:국내․외 컨벤션 및 방문객의 대전 내 유치와 지원, 홍보활동 등 <br />
컨벤션 및 도시마케팅과 관련되는 연구 수행 및 각종 정보수집 등<br />
대전컨벤션센터의 위탁 운영<br />
도시마케팅과 관련되는 연구 수행 및 각종 정보수집 등<br />
컨벤션 및 도시마케팅에 관한 인력 양성사업<br />
국가, 지방자치단체 및 공공기관으로부터 위탁받은 사업
"
유니버설아트센터,4991,,,서울특별시 광진구 천호대로 664(능동),37.5500692339,127.08767265510001,"유니버설아트센터는 1981년 리틀엔젤스예술회관으로 개관하였다. 문화예술공간으로 각광받다가 2007년 유니버설아트센터로 명칭을 변경하고 2009년 객석 리모델링을 통해 현재의 모습을 갖춘 후 재개관하였다. 지상 4층 규모의 유니버설아트센터는 [세월이 지나도 변치 않는 가치]를 모토로 하여 유럽 오페라하우스 풍의 클래식한 건축 인테리어로 독창성을 인정받았다. 건축의 마지막 작업인 장식의 몰딩(석고로 조각하여 장식하는 것)은 9개국의 몰딩 전문가 12명이 수작업을 통해 2년에 걸쳐 완공하여 국내 공연장으로서는 유일무이하게 그 견고한 아름다움을 자랑하고 있다. 
주요 시설로는 국내에서 가장 아름다운 객석 경관을 갖춘 대극장(1,082석), 세미나 또는 만찬을 개최할 수 있는 루나홀(300명 수용 규모의 연회룸), 관객들이 한 동선에서 원스텝(one-step)으로 서비스를 받을 수 있는 메인 로비, 클래식한 분위기의 카페가 있다.
유니버설아트센터에는 세계 정상의 유니버설발레단, 최고의 발레 교육 시스템을 갖춘 유니버설발레단 부설 발레 아카데미, 노래하고 춤추는 외교사절 리틀엔젤스예술단, 예술인의 산실 선화예술학교가 있어 공연장, 예술단체, 예술교육기관이 함께 어우러져 있다.",,"지상 3층, 지하 1층","대극장 : 1,082명 / 루나홀 : 300명","[화요일~금요일]<br>
- 09:00~18:00(휴게시간 12:00~13:00)<br>
[토요일]<br>
- 13:00~21:00(휴게시간 17:00~18:00)<br>
[일요일]<br>
- 18:00~20:30",매주 월요일,공연에 따라 상이,,공연에 따라 상이,있음,"- 일반 요금 : 1시간 3,000원(10분당 500원)<br>
- 어린이 공연용 2시간 2,000원 / 성인 공연용 4시간 4,000원",없음,불가,가능,"사업내용:공연 (클래식, 국악, 오페라, 뮤지컬, 연극, 무용, 콘서트), 행사 (세미나, 콩쿨, 만찬), 영화, CF촬영, 패션쇼, 카달록 촬영
대관안내:대극장, 루나홀 대관 가능 <br />
대관문의 070-7124-1839
"
광주예술의전당,61104,,,광주광역시 북구 북문대로 60,35.177937420300005,126.881387839,"광주예술의전당은 장르별로 특성화하여 건축된 전문공연예술회관이다. 오페라 및 다양한 장르를 공연할 수 있는 대극장, 가변형 객석의 실험무대가 가능한 소극장 등 2개의 공연장으로 구성되어 있으며, 실험극장 및 일반 미술전시를 겸비한 별관전시실, 운암산의 울창한 숲으로 둘러싸인 원형야외극장, 그밖에 시립예술단체의 연습장, 대극장 로비에 설치된 매점 및 레스토랑 등의 편의시설이 갖추어진 문예회관이다.

총 8개 예술 단체 300여 명의 전문 상임 단원이 소속되어 활발한 활동을 하고 있다. 전통음악과 교향악, 창극부터 발레에 이르기까지 다양한 장르의 수준 높은 공연을 시민들에게 선보여 문화예술의 저변 확대와 지역 인재 양성에 기여하고 있다. 시립예술단에는 교향악단, 창극단, 발레단, 국악관현악단, 합창단, 소년소녀합창단, 극단, 오페라단 등으로 각각 이루어져 있다. 이외에도 판소리, 발레, 오페라아카데미 등의 문화예술교실 프로그램을 진행하고 있다.",,"부지면적 88,422㎡, 건축연면적 46,979㎡(지상2, 지하2층), 야외 원형무대 108㎡<br />
전시면적 1,274㎡(1층 600㎡, 2층 674㎡ )","대극장 1,722석(1층 1,214석, 2층 508석) <br />
소극장 504석(오케스트라 피트 좌석 미사용시 396석)",09:00~22:00,"설날, 추석",공연에 따라 상이,"예술단체 일반, 우대회원 50%, 다자녀가정 등",공연에 따라 상이,가능,,없음,불가,가능,"사업내용:대 소공연장 대관, 별관전시실 운영/ 문화 향수권신장, 소외계층을 위한 무료초대
체험프로그램:국악교실 / 성인발레 / 초등발레 / 유아발레 / 여성합창교실 / 관객아카데미 / 한국무용 / 판소리 등<br>
※ 자세한 사항은 홈페이지 참조 요망
한국어 안내서비스:가능
예약안내:[티켓예매] 인터넷예매, 방문예매, 현장판매
대관안내:공연장 대관가능 <br />
문의 062-613-8352
"
무등갤러리,61475,,,광주광역시 동구 예술길 18-1(궁동),35.1500689678,126.91818528350001,"1991년 11월에 개관한 무등갤러리는 개인전, 단체전, 기획전 등 지역예술인들을 위한 전시 공간이다. 지역사회 문화 창달을 위해 노력하고 있으며, 광주지역 문화공간으로써의 역할을 수행하고 있다. 광주와 전남의 전통있는 그룹이나 협회의 전시공간으로 역사가 깊으며, 현재 공모를 통해 다양한 세대 및 장르의 작가들에게 전시기회를 제공하고 있다. 2019년 11월 미로센터가 개관하면서 기존 70평에서 30평을 확장하여 100평의 전시공간을 갖추고 있다.",,75평,,"10:00~18:00<br>
※ 오프닝 행사(매주 목요일) 시 연장 운영<br>
※ 매주 목요일~수요일까지 7일간 전시 진행",연중무휴,무료,,,불가,,없음,불가,없음,"사업내용:1. 대관 및 상설 전시<br>
2. 기획초대展
"
초전섬유ㆍ퀼트박물관,4630,,,서울특별시 중구 퇴계로18길 66(남산동1가),37.5581830981,126.9842485115,"초전섬유퀼트박물관은 우리 섬유의 우수성과 전통을 배워 보는 곳이다. 사라져가는 우리의 전통 섬유 예술을 보존하고 아울러 해외의 전통 섬유 예술작품을 함께 전시함으로써 우리 섬유예술의 미래를 개척해 가는 데 목적을 두고 있다. 다양한 국내외 섬유예술 작품들을 보유하고 있으며 국내 유일의 섬유예술 박물관이기도 하다.
개관과 동시에 첫 기획전인 일본 국제 퀼트 콘테스트 공모전 입상작 전시회를 성공리에 마쳤으며 이어 제1회 한국퀼트콘테스트 공모전과 입상작 전시회, 퀼트 분야에서 새롭게 시도된 맨홀 퀼트 기획전 [아름다운 환경을 위한 시도]와 세계의 전통 섬유 직물전 등 퀼트와 텍스타일 분야를 넘나드는 다양한 기획전들을 차례로 개최하였다. 또한, 섬유예술에 관련된 워크숍과 세미나를 개최하여 작가와 전문인들에 대한 교육의 장을 제공해 나가고자 한다.
독특한 아이템과 전시기획으로 외국인들에게 새로운 관광코스로 주목받고 있는 초전섬유퀼트박물관은 소장품이 전시되는 상설전뿐만 아니라 다양한 기획전과 섬유 및 퀼트 콘테스트를 개최함으로써 일반인들에게 다소 생소한 섬유 예술작품들을 보다 가깝게 접할 기회를 제공하고, 섬유예술을 공부하는 젊은 세대들에게는 민족의 우수한 전통 섬유 예술 전수하여 세계로 발돋움할 수 있는 기반이 되어주고자 한다. 또한, 국내의 기존 섬유 예술작가들에게 해외 각국의 독특한 섬유예술을 소개함으로써 새로운 기법과 아이디어를 얻음과 동시에 폭넓은 안목, 국제적인 감각을 키울 기회를 제공하고자 한다.",,"전시실 1실  201.75㎡ / 
수장고 2실  26.16㎡ / 준비실 2실   56.27㎡ / 자료실 1실   27.25㎡  /
강당 1실  102.04㎡ /
사무실 1실   36.96㎡ /
기타      133.29㎡",,"10:00~17:00<br />
※ 입장은 폐관 30분 전까지",매주 일요일 / 공휴일(기획전 및 특별전 기간 무휴),"- 성인(만 19세 이상) 8,000원 / 청소년(만 19세 미만) 5,000원 / 어린이(3~7세) 3,000원 / 경로(65세 이상) 및 장애인 5,000원 <br>- 기획전의 입장료는 별도(기획전마다 상이)",※ 단체할인 가능 (사전문의),,주차 가능 (주차 공간 협소),,없음,없음,없음,"소장품현황:1,015점<br> 
 1) 한국 전통자수 및 조각보 152점<br>
 2) 한국 전통 장신구 32점<br>
 3) 한국 전통 한복 89점 <br>
 4) 중국 전통복식 및 자수품 260점<br>
 5) 중국 장신구 52점 <br>
 6) 해외 전통퀼트 및 패치워크 95점<br>
 7) 해외 수직퀼트 25점<br>
 8) 세계의 민속 복식 인형 310점
"
샤롯데씨어터,5554,,,서울특별시 송파구 올림픽로 240 롯데월드,37.5123821225,127.0976311526,"샤롯데씨어터는 국내 최초의 뮤지컬 전용 극장이다. 총 1,241석 규모로 롯데그룹이 한국의 뮤지컬 업계 발전을 도모하기 위해 건설비 총 450억 원을 투자하여 2004년 착공, 2006년 10월 28일 개관하였다. 세계 어느 극장과 비교해도 손색없는 샤롯데씨어터는 우아하고 고급스러운 중세 유럽 분위기의 품격 있는 내관과 외관을 자랑하고 있으며 뮤지컬 전용 극장으로서 갖춰야 할 모든 요소를 최첨단 시스템을 갖추고 있다. 오페라 공연의 경우 더 크고 생생하게 배우들의 표정과 생동감 있게 무대를 가까이서 즐길 수 있게 하기 위해서 오페라글라스도 대여해준다.",,지하 1층~지상 7층,"총 1,241석(1층 725석, 2층 516석)",공연마다 상이,월요일,공연마다 상이,,공연마다 다름,있음,"[관객] 기본요금 4시간 4,000원 / 초과요금 매 10분당 1,000원<br />
※ 당일 관객 주차할인권 구매시<br />
[일반 방문] 기본요금 최초 30분 1,000원 / 초과요금 매 10분당 1,000원<br />
※ 롯데월드단지 주차장 주차료와 동일",없음,불가,가능,"대관안내:제출서류 : 신청서, 공연 소개서, 공연 관련 이미지, 영상 등의 각종 첨부 자료 (대관 신청서 작성 시 첨부)<br />
제출방법 : 대관 신청서 작성 후 온라인 접수<br />
대관문의 02-3470-3581
"
박물관은 살아있다(인사동점),3163,,,서울특별시 종로구 인사동길 12,37.5718843365,126.98720340959999,"박물관은 살아있다(인사동점)는 탑골공원 인근에 있는 미디어 테마파크이다. 전통과 현대가 공존하는 인사동 문화의 거리에 전면적 약 1,280㎡가 박물관으로 구성되어 있으며, 지하 1, 2층 공간에 100여 개의 작품을 전시하며 수도권 최대 규모의 전시 공간을 자랑한다. 착시에 의해 시각적 효과가 나타나는 옵티컬 일루전 아트뿐 아니라 흔히 보기 어려운 대형오브제 작품과 디지털 미디어 작품들이 더욱 실감 나는 관객 참여형 작품으로 입체 체험과 미지의 세계로의 탐험을 가능하게 한다. 보고, 듣고, 만지고 작품 속의 주인공이 되어 기상천외한 포즈로 나만의 사진을 찍으며 예술을 즐길 수 있는 신개념 오감 충족 놀이형 체험 전시관이다.",,,"2,000명 수용 가능",10:00~18:00 (입장마감 17:00),연중무휴,"1인 12,000원<br />※ 자세한 사항은 홈페이지 참조","- 20명 이상 단체 10% 할인 <br />
- 경로 30% 할인<br />
- 군인, 경찰 30% 할인<br />
- 국가유공자 : 본인+동반자 1인 50% 할인<br />
- 장애인: 1~3급의 경우 본인+동반자 1인 30% 할인, 4~6급의 경우 본인 30% 할인(패키지 및 단체 제외)",,있음,"시간당 3,000원 / 30분 이후 10분당 500원",없음,불가,가능,"사업내용:미술전시관 
예약안내:전화/홈페이지 예약 가능 <br />
단체는 전화문의 02-2034-0600 
외국인 예약안내:전화/홈페이지 예약 가능 
"
피규어뮤지엄W,6014,,,서울특별시 강남구 선릉로158길 3(청담동),37.5258461965,127.0404054231,"서울시 강남구 청담동에 위치한 피규어뮤지엄W는 피규어와 토이를 테마로 테마파크의 기능을 접목시킨 새로운 개념의 뮤지엄이다. 피규어뮤지엄W에서는 진귀한 피규어를 만나고, 감상하고, 체험하고, 즐길 수 있는 경험을 제공함으로써 어린이, 청소년, 성인 등 모든 이들에게 새로운 놀이문화와 건전한 취미생활을 제시하는 문화 관광 랜드마크를 건립하고자 한다. 총 6개의 테마로 이루어진 전시공간은 어린이뿐 아니라 온 가족이 즐길 수 있는 놀이공간, 카페가 있는 그랜드 홀, 직접 피규어를 구입할 수 있는 매니아 샵 등 다양한 컨텐츠를 만나고 즐길 수 있도록 마련되었다.<br>",,"연면적 851.62㎡ (지상6, 지하2층)",동시 200명 수용 가능,13:00~17:00,"매주 월요일, 1월 1일, 설날/추석 연휴 1․2일째 <br />
(단, 월요일이 공휴일인 경우 개관)","성인(20세 이상) 15,000원 / 청소년(14~19세) 13,500원 / 어린이(4~13세) 12,000원","- 15인 이상 단체 30% 할인<br />
- 장애인 30% 할인<br />
- 온라인 예매시 10% 할인<br />
- 36개월 이하 무료",,주차공간이 협소하므로 가급적 대중교통 이용,,없음,불가,가능,"사업내용:전시/교육/뮤지엄샵/카페
소장품현황:로봇 프라모델, 히어로 액션 피규어, 자동차 다이캐스트 등 3천여 점
예약안내:관람 예약 02-512-8865 / 교육 예약 070-7404-2240
한국어 안내서비스:상시 시행 <br />
※ 매월 마지막 주 수요일 <문화가 있는 날> 도슨트 운영
외국어 안내서비스:[영어], [일어], [중국어] 상시 시행 (단, 단체는 사전 예약)<br />
※ 문의 02-512-8865
외국인 예약안내:전화 예약 02-512-8865
대관안내:대관시설 - 공연, 강연, 세미나, 파티 등 각종 행사와 프로모션<br />                            
※ 문의연락처 070-7404-2240       
"
